name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Kendall Coyne Schofield,20,MIN,F,15,250.66666666666663,10,5,1,13,0,3.8377514091121063,3.111702127659574,2.2371975979991747,2.2371975979991747,0.2393617021276596,-0.2033107036556766,-0.008132428146227,0.918610709627898,0.7972587071334758,1.7158694167613735,2.038,3.331,5.369,2.929,4.495,7.424,0.65,0.997,1.647,0.394,0.2175,-0.2788,4.5082
Daryl Watts,63,TOR,F,11,202.5,5,2,1,3,0,4.243966625763891,0.888888888888889,1.6533053389493002,1.6533053389493002,0.0,-0.1605663146818176,-0.0064226525872727,1.2574715928189306,0.5887672694344753,1.846238862253406,2.79,1.987,4.777,3.51,2.928,6.438,0.779,0.649,1.428,0.423,0.2175,-0.2788,4.5082
Britta Curl-Salemme,189,MIN,F,12,215.33333333333331,5,5,4,13,6,2.5734520298128136,3.622291021671826,2.72679125336604,2.72679125336604,0.0,-0.4426724057833362,-0.0177068962313334,0.7170609370995455,0.9639379549804408,1.6809988920799863,1.027,3.459,4.486,1.793,4.46,6.253,0.398,0.989,1.387,0.386,0.2175,-0.2788,4.5082
Laura Stacey,32,MTL,F,15,297.68333333333334,2,5,1,4,10,4.898249630987623,0.8062258552152736,0.5138878439007132,0.5138878439007132,0.6046693914114551,0.0235730933600461,0.0009429237344018,0.9872738744502236,0.1859425475386586,1.1732164219888823,2.761,0.923,3.684,3.819,2.306,6.125,0.847,0.512,1.359,0.274,0.2175,-0.2788,4.5082
Brianne Jenner,58,OTT,F,15,285.68333333333334,8,6,1,5,6,3.4896077941095767,1.0501137623242518,1.3072566391460847,1.3072566391460847,0.0,0.0673184266002183,0.0026927370640087,0.7328970339416881,0.4733051271565992,1.2062021610982874,1.438,2.254,3.692,2.454,3.581,6.035,0.544,0.794,1.338,0.281,0.2175,-0.2788,4.5082
Taylor Heise,21,MIN,F,15,255.85,3,7,6,11,6,2.746049700480504,2.5796365057650967,1.6765242537895548,1.6765242537895548,1.1725620480750438,0.7298896422917076,0.0291955856916683,0.643982732182256,0.6327443170559081,1.276727049238164,0.909,2.698,3.607,1.819,3.887,5.706,0.403,0.862,1.265,0.297,0.2175,-0.2788,4.5082
Kelly Pannek,23,MIN,F,15,256.8666666666667,8,5,2,10,2,2.3036435002887066,2.3358422008824293,1.421699705608165,1.421699705608165,3.036594861147158,2.593922455363822,0.1037568982145528,0.5380947703762875,0.6155687922334924,1.15366356260978,0.459,2.635,3.094,1.373,3.829,5.202,0.305,0.849,1.154,0.27,0.2175,-0.2788,4.5082
Kristýna Kaltounková,245,NY,F,4,86.68333333333334,4,1,0,1,12,4.513414568915188,0.6921745818111902,0.769476319259951,0.769476319259951,0.0,0.1660535164162992,0.0066421406566519,3.124070841779403,0.2836536155902343,3.4077244573696377,3.891,0.41,4.301,4.199,0.813,5.012,0.931,0.18,1.111,0.769,0.2175,-0.2788,4.5082
Julia Gosling,210,SEA,F,14,254.21666666666664,6,4,2,2,8,3.4604429431490717,0.4720382875499902,0.8173405747319127,0.8173405747319127,0.0,-0.3958658999434997,-0.0158346359977399,0.816730780524268,0.2784079709057486,1.0951387514300166,1.635,1.18,2.815,2.539,2.361,4.9,0.563,0.524,1.087,0.257,0.2175,-0.2788,4.5082
Kristýna Kaltounková,245,NY,F,10,187.65,5,0,0,0,19,4.513414568915188,0.0,-0.0977993432216203,-0.0977993432216203,0.0,0.1660535164162992,0.0066421406566519,1.4431381515316348,-0.0285656229031313,1.4145725286285034,3.166,-0.089,3.077,3.833,0.783,4.616,0.85,0.174,1.024,0.327,0.2175,-0.2788,4.5082
